"","life_expectancy","radio_television_per_cap","log_population","civil_war","year","country_name","international_war","urban_population_pct","oil_production_per_cap","inequality_gini","gdp_per_cap","inflation","region_name","education15","government_effectiveness","political_stability","polity","healthcare","womens_civ_lib","media_censorship","internet_access"
"77",38.07,-1.90576318524345,14.3883797627842,-2,1974,NA,-2,4,-2,44.0855096772123,735.450012207031,-20.8394327878853,NA,-0.53165066242218,-3.47953823438997,-3.01799486480394,-9,-2.5875354355015,-1.80910508597711,-3.50892748168703,-2
"82",40.51,-1.99629973494586,14.4408495050995,-1,1979,NA,-2,6.70000000000005,-2,46.6143717833421,761.559997558594,241.114113623704,NA,-0.45671188831329,-4.18877007837647,-4.55835220051464,-10,-2.92365634877777,-1.7471201011756,-4.24645921526431,-2
"87",44.02,-1.99026941856224,14.3901485212475,-1,1984,NA,-2,11.2,-2,49.303952430365,875.659973144531,44.2677864842317,NA,-0.13245320320129,-4.1033852277492,-4.8049788076028,-3,-2.92365634877777,-1.7471201011756,-4.24645921526431,-2
"92",47.3,-1.98767941845243,14.4089689809268,-1,1989,NA,-2,13.9,-2,40.4347248981525,598.590026855469,-14.0294301057681,NA,-0.12315332889557,-3.19081621573683,-3.45345725069588,-10,-3.51465568527409,-1.88577224295739,-4.31876306972816,-2
"97",47.7,-1.98393931964186,14.6693133246716,-1,1994,NA,-2,15.4,-2,53.1255000677194,524.070007324219,479.57430816198,NA,-0.0780180692672701,-4.25425052642822,-4.54446744918823,-9,-4.3867257798127,-1.9645812296253,-3.8903900228541,-2
"102",48.4,-2,14.8683280204551,-1,1999,NA,-2,19.4087638305593,-2,31.7794072024162,504.600006103516,758.578777176295,NA,0.20188784599304,-3.96201025615441,-4.74656361174174,-5,-4.24415360389786,-1.95163098301036,-4.22056004046428,-2
"107",50.1,-2,15.0498683168132,-2,2004,NA,-2,43.4860478825456,-2,30.7971681473946,788.159973144531,1.5143768787384,NA,0.41684794425964,-3.48808073997498,-4.23109436035156,-3,-2.41061330927602,-1.75249013355771,-1.2952594889587,-1
"194",42.68,-1.99985781658104,13.7820212791784,-1,1974,NA,-1,10.1432435007106,336.24795,47.6536075805415,951.820007324219,42.2050097893025,NA,-1.33200001716614,-2.81842869019542,-4.38867967928778,-9,-3.52220493405741,-1.85072546640227,-4.56075704837448,-2
"199",44.42,-1.99707403409197,13.9116555175838,-1,1979,NA,-1,16.614668869154,478.16271,34.4718791629093,921.460021972656,55.8916729894181,NA,-0.98800003528595,-3.12542789180865,-4.84619568719355,-9,-3.52220493405741,-1.85072546640227,-4.56075704837448,-2
"204",45.75,-1.99576452326103,14.0708444499773,-1,1984,NA,-1,39.9590907517668,289.65218,31.7971886976591,692.190002441406,69.5783361895328,NA,-0.52799999713898,-3.57946349594093,-4.9732957868071,-9,-4.17169041769612,-1.85072546640227,-4.00897514072083,-2
"209",47.3,-1.99444093963515,14.2155186698726,-1,1989,NA,-1,20.8,510.11626,49.181807459342,851.780029296875,83.2649993896484,NA,-0.1159999370575,-3.19708338002324,-4.79654305542842,-10,-4.17169041769612,-1.73297476930034,-3.97706469426117,-2
"214",49.3,-1.99216040454432,14.36747558264,-2,1994,NA,-2,23.8,541.70294,51.8410498500254,732.22998046875,4144.009765625,NA,0.10400009155273,-2.83524250984192,-4.10554718971252,-2,-4.12993818075415,-1.73132955266334,-2.78847149099291,-1
"219",50.5,-2,14.5036559665516,-1,1999,NA,-2,37.0204120914812,499.58331,53.1642383735216,739.099975585938,150.585998535156,NA,0.33099985122681,-2.77486889942995,-3.62438741943839,-5,-4.12993818075415,-1.72387218431043,-2.78847149099291,-1
"224",53.7,-2,14.6539519764976,-2,2004,NA,-2,23.9066416258181,1076.8403,50.9288314413376,1211.88000488281,11.3050003051758,NA,0.58599996566772,-3.36832141876221,-2.5409072637558,-4,-2.89225135169639,-1.41454114477687,-2.03057286099977,-1
"299",68.17,-1.99829875186995,12.7144596286795,-2,1974,NA,-2,21.2,239.94345,41.5252499560531,2296.63989257812,-26.0027111837374,NA,3.75873204194018,-1.91624033559482,-2.21331971889413,-11,-0.29110236370072,-1.98942794986715,-4.44535039386643,-2
"304",69.63,-1.9904124164695,12.82095374974,-2,1979,NA,-2,25.9000000000001,780.18955,41.1192931548348,2357.67993164062,750.513011907657,NA,0.0127066141314103,-3.12657891849717,-2.42542942004676,-11,-0.29110236370072,-1.98942794986715,-4.44535039386643,-2
"309",70.96,-1.92065044297734,12.9280947172076,-2,1984,NA,-2,32.4000000000001,177.50174,28.7931515358027,2425.97998046875,93.4968074332652,NA,5.91907271428413,-2.7391219311203,-2.69593605299123,-11,-0.29110236370072,-1.98942794986715,-4.44535039386643,-2
"314",71.4,-1.91014358289498,12.9994715449153,-2,1989,NA,-2,34.4,108.1199,35.6281065832057,1833.7099609375,493.045651881295,NA,7.32675566065106,-2.68426929226121,-3.79099591968971,-1,-1.14577651243749,-1.33352917041462,-1.48660991491548,-2
"319",71.8,-1.87301695122317,12.964919504383,-2,1994,NA,-2,33.4,26.977514,26,2479.86010742188,10.7299995422363,NA,5.23857164382935,-2.80171036720276,-2.4315622150898,-2,-1.14577651243749,-1.22244249983345,-1.38517954215322,-2
"324",73.1,-1.76601625401091,12.9369877737626,-2,1999,NA,-2,32.2964516283582,18.605836,26.3000001907349,3226.52001953125,1.10999989509583,NA,5.85375499725342,-2.5453875982167,-2.59447137694988,3,-0.95133309952059,-1.17151658254404,-1.11481226420299,-1
"329",74.4,-1.90352906407364,12.9539046203105,-2,2004,NA,-2,27.1936614340716,66.643227,29.1000003814697,4365.43994140625,0.36999988555908,NA,5.89848327636719,-2.45636215806007,-2.48508533835411,7,-0.95133309952059,-1.15784514703294,-1.02539711336107,-1
"416",66.92,-1.85161851237202,15.0924049048955,-2,1974,NA,-2,56,255.14254,33.2000007629395,7963.2001953125,441.999572753906,NA,5.07200002670288,-3.00558887020458,-3.5058809708698,-11,-1.20815233978821,-1.51890240925365,-3.34879029555871,-2
"421",68.51,-1.80658086372945,15.1685037077651,-2,1979,NA,-2,63.8999999999996,520.06908,40.75,7604.56005859375,102.476997375488,NA,5.39700031280518,-1.59578507027255,-1.81856276066246,-10,-1.20815233978821,-1.51890240925365,-4.45366081948231,-2
"426",69.66,-1.7872837976498,15.2417265608588,-2,1984,NA,-2,75.3999999999996,134.90095,40.2000007629395,7221.7900390625,88.0899963378906,NA,5.48200035095215,-1.84577228814534,-2.00772969284198,6,-0.4967475692081,-1.11973104792273,0.24682247221932,-2
"431",70.7,-1.78085085649981,15.3102477653996,-2,1989,NA,-2,81.2,162.86895,43.3499984741211,6952.7099609375,169.671997070312,NA,5.60500001907349,-2.50505781440023,-1.93621753628938,5,-1.07149154549944,-1.1261639486799,0.0332511015924601,-2
"436",71.5,-1.77749284459693,15.3754833375119,-2,1994,NA,-2,83.2,220.2424,45.7000007629395,8088.7998046875,-1.84399999678135,NA,5.88000011444092,-1.73137876391411,-1.97673930227757,5,-1.07149154549944,-1.1261639486799,-0.32669539194367,-1
"441",72.3,-1.64883065417454,15.4349858060048,-2,1999,NA,-2,84.0634548553333,217.9621,50.7700004577637,7965.81005859375,-3.06500005722046,NA,6.14200019836426,-2.09852011525613,-2.33799337579126,6,-1.07149154549944,-1.12704782080961,-0.10317933119253,-1
"446",73.3,-1.56624498240214,15.4817696908082,-2,2004,NA,-2,62.6614050675236,469.94443,45.9000015258789,9099.150390625,8.8979997634888,NA,6.35200023651123,-2.03967994078994,-1.98267096094787,6,-1.0728352309117,-1.12704782080961,-1.10761039427327,-1
"458",67.7,-1.79074246128988,13.0676466442958,-2,1989,NA,-1,65.4878331506641,-2,27.6000003814697,5260.81982421875,1224.98476561844,NA,6.97311401367188,-3.17922644399623,-2.05074109574775,4,0.13220125134432,-1.24220085410696,-1.2013542310493,-2
"463",67.4,-1.7822111571597,12.998269306998,-2,1994,NA,-2,59.1252809628106,-2,46.2000007629395,3736.15991210938,16.6811847686768,NA,7.04915523529053,-2.4083731174469,-2.51997745037079,-8,-0.24545216877416,-1.24220085410696,-1.65973789624885,-2
"468",69.4,-1.73045308426463,12.9356967800562,-2,1999,NA,-2,76.2498493379254,-2,33.3600006103516,5023.08984375,1.14590454101562,NA,6.9333438873291,-2.47232584514354,-2.49388552382029,3,-0.24545216877416,-1.25977443261705,-2.27255180352354,-1
"473",69.7,-1.79167137988178,12.9366919052642,-2,2004,NA,-2,38.7657863058016,-2,34.2449989318848,9547.26953125,0.89235663414001,NA,7.56351184844971,-2.21460507810116,-2.27943393588066,3,-0.24545216877416,-1.2593697993589,-2.47016902467784,-1
"559",70.84,-1.71683621790739,14.4480149208581,-2,1974,NA,-2,68.8,516.90023,31,13556.83984375,11.3507595062256,NA,9.2220001220703,-0.626448968364554,-1.04115614706328,8,0.5348661844467,-1.04913108741872,1.02989543513882,-2
"564",72.92,-1.62262667528734,14.5192143537837,-2,1979,NA,-2,75.0999999999999,787.56538,27.7150001525879,14658.33984375,7.61400032043457,NA,9.6540002822876,-0.990243397102288,-0.862957529097062,8,0.5348661844467,-1.04913108741872,1.02989543513882,-2
"569",74.08,-1.54231499120393,14.5963707520668,-2,1984,NA,-2,83.5999999999999,316.44308,33.2000007629395,15755.169921875,7.08399963378906,NA,9.9739999771118,-0.916100351557047,-1.13498322550273,8,0.16272537587989,-1.04897217544841,1.02989543513882,-2
"574",75.4,-1.51605328578252,14.6661718908179,-2,1989,NA,-2,85.8,349.83622,28.0499992370605,16741.3203125,1.22300004959106,NA,10.2779998779297,-0.523896026963517,-1.44865454272541,8,0.16272537587989,-1.04897217544841,1.02989543513882,-2
"579",76.5,-1.45335261865307,14.7245438566351,-2,1994,NA,-2,83.8,295.72665,31.0499992370605,19073.080078125,0.61199998855591,NA,10.5179996490479,-0.34071588516235,-0.66657757759094,8,0.16272537587989,-1.04897217544841,1.02989543513882,-1
"584",78.1,-1.3882942345381,14.7811408797977,-2,1999,NA,-2,86.4306161268464,343.29763,29.7000007629395,21660.029296875,2.38100004196167,NA,10.7419996261597,-0.291989360459621,-1.1417220634698,8,0.16272537587989,-1.04897217544841,1.02989543513882,-1
"589",79.4,-1.52831454344433,14.8421605158864,-2,2004,NA,-2,96.6412641527091,653.38961,27.2999992370605,24095.5703125,1.53800010681152,NA,10.9019994735718,-0.24404442310333,-1.08197355270386,8,0.16272537587989,-1.04897217544841,1.02989543513882,-1
"651",69.77,-1.65018889936482,13.8324970066621,-2,1974,NA,-2,36,80.630548,29.2000007629395,12199,5.29996776580811,NA,7.13399982452393,-0.539997417335689,-0.766756522164201,8,0.44112700101624,-1.03843359406617,0.65059300556137,-2
"656",70.96,-1.60144634891068,13.8385099806743,-2,1979,NA,-2,40.8000000000002,97.211005,29.3999996185303,13715.919921875,4.80700016021729,NA,7.52099990844727,-0.489352869996706,-1.01569482144061,8,0.44112700101624,-1.03843359406617,0.65059300556137,-2
"661",72.43,-1.56194059508304,13.8465266627036,-2,1984,NA,-2,48.8000000000002,27.112027,22.1000003814697,15078.7802734375,-0.26300001144409,NA,7.87599945068359,-1.39295831482125,-1.25082102663158,8,0.44112700101624,-1.03315558360559,0.65059300556137,-2
"666",73.8,-1.51689857007971,13.857241522661,-2,1989,NA,-2,53.2,35.437204,24.2999992370605,17260.630859375,1.11800003051758,NA,8.2250003814697,0.04943916027189,-1.06322689408418,8,0.44112700101624,-1.03315558360559,0.65059300556137,-2
"671",75.1,-1.46563553721364,13.8786997934927,-2,1994,NA,-2,55.2,23.736872,24,18509.9296875,-0.20700001716614,NA,8.5500001907349,-0.14237833023071,-0.66887283325195,8,0.44112700101624,-1.03315558360559,0.65059300556137,-1
"676",76.6,-1.53731328215604,13.8997776877429,-2,1999,NA,-2,90.6225159236371,22.866225,22,21091.919921875,0.29500007629395,NA,8.8550004959106,0.0377384617462138,-0.711414426385597,8,0.44112700101624,-1.03315558360559,0.65059300556137,-1
"681",78,-1.37080076572448,13.928396667752,-2,2004,NA,-2,83.6305435203037,57.089933,26.0949993133545,23386.2890625,-0.31400001049042,NA,9.0799999237061,-0.18057036399841,-0.92078578472137,8,0.44112700101624,-1.03315558360559,0.65059300556137,-1
"698",63,-1.78859387004878,13.8641736917358,-2,1994,NA,-2,58.3373043912968,225.76818,43.7999992370605,1809.96997070312,17.7948036193848,NA,6.47736740112305,-2.94011431932449,-2.9165757894516,-8,-3.04743625404693,-1.45386076197352,-3.05080220156065,-2
